# This is a list of Dutch ministery governmental websites.
# Source for this file is https://github.com/openstate/datasets/blob/master/government_domain_names/Rijksoverheid.csv
# ar = Algemene Rekenkamer
# az = Algemene Zaken
# buza = Buitenlandse Zaken
# bzk = Binnenlandse Zaken en Koninkrijksrelaties
# caop = Centrum voor Arbeidsverhoudingen Overheidspersoneel
# def = Defensie
# ek = 
# ezk = Economische Zaken en Klimaat
# fin = Financiën
# ienw = Infrastructuur en Waterstaat
# jenv = Justitie en Veiligheid
# lnv = Landbouw, Natuur en Voedselkwaliteit
# no
# ocw = Onderwijs, Cultuur en Wetenschap
# rvs = Raad voor Volksgezondheid en Samenleving
# szw = Sociale Zaken en Werkgelegenheid
# tk
# vws = Volksgezondheid, Welzijn en Sport
raadvoorhetoverheidspersoneelsbeleid.nl,caop
braic.nl,def
covm.nl,def
defensie.nl,def
dto.nl,def
expertisecentrummggz.nl,def
faculteitmilitairewetenschappen.nl,def
ivd.nl,def
korpsnationalereserve.nl,def
kustwacht.nl,def
veva.nl,def
werkenbijdefensie.nl,def
eerstekamer.nl,ek
acmacademie.nl,ezk
acm.nl,ezk
actal.nl,ezk
adviescollegeveiligheidgroningen.nl,ezk
adviescommissiedbe.nl,ezk
agendalaadinfrastructuur.nl,ezk
agentschaptelecom.nl,ezk
antennebureau.nl,ezk
atr-regeldruk.nl,ezk
avgregisterrijksoverheid.nl,ezk
bedrijvenbeleidinbeeld.nl,ezk
beheerautoriteitwaddenzee.nl,ezk
binnl.nl,ezk
bkd.eu,ezk
brexitloket.nl,ezk
bureautoetsinginvesteringen.nl,ezk
cbi.eu,ezk
cbsinuwbuurt.nl,ezk
cbs.nl,ezk
centralecommissiedierproeven.nl,ezk
citychlor-news.eu,ezk
commissiemijnbouwschade.nl,ezk
commissievanaanbestedingsexperts.nl,ezk
consuwijzer.nl,ezk
corbey.nl,ezk
cpb.nl,ezk
criminaliteitinbeeld.nl,ezk
csirtdsp.nl,ezk
deconcurrenten.nl,ezk
demijnraad.nl,ezk
destaatvandeeconomie.nl,ezk
dggf.nl,ezk
dictumagazines.nl,ezk
digitaltrustcenter.nl,ezk
digitaltrustcommunity.nl,ezk
drupaloverheid.nl,ezk
dutchdigitaldelta.nl,ezk
duurzaamdoor.nl,ezk
duurzaamgww.nl,ezk
eceonline.nl,ezk
emissieautoriteit.nl,ezk
emissionsauthority.nl,ezk
energieoprijksgrond.nl,ezk
